FUA code,FUA name,FUA-code,X,Y,C_urban woody feature_FUA_%
FR034,Valenciennes,FR034,3.5192599,50.3432999,22.885131579
FR035,Tours,FR035,0.632468,47.3764992,34.745593534
FR036,Angers,FR036,-0.564742,47.4846992,22.329118724
FR037,Brest,FR037,-4.4488201,48.4560013,21.112600180
FR038,Le Mans,FR038,0.185016,47.9847984,30.165726728
FR039,Avignon,FR039,4.83916,43.9620018,29.310689233
FR040,Mulhouse,FR040,7.2484999,47.7871017,47.048955314
FR042,Dunkerque,FR042,2.32182,50.9444008,8.941216827
FR043,Perpignan,FR043,2.77916,42.6769981,37.975685794
FR044,Nîmes,FR044,4.3126402,43.8185997,33.532306016
FR045,Pau,FR045,-0.354284,43.3250008,36.836629574
FR046,Bayonne,FR046,-1.39609,43.4378014,50.124047483
FR047,Annemasse,FR047,6.2898998,46.2004013,42.015987397
FR048,Annecy,FR048,6.1289201,45.8844986,54.742724180
FR049,Lorient,FR049,-3.28913,47.8460007,38.576584319
FR050,Montbéliard,,6.6815,47.4735985,55.658252286
FR051,Troyes,FR051,4.0836401,48.2784004,28.757280059
FR052,Saint-Nazaire,FR052,-2.2046101,47.3939018,20.889713742
FR053,La Rochelle,FR053,-0.965185,46.1941986,9.176886397
FR056,Angoulême,,0.187144,45.6599007,33.398163956
FR057,Boulogne-sur-Mer,FR057,1.72929,50.6940994,30.811068574
FR058,Chambéry,FR058,5.91645,45.5820999,57.091564832
FR059,Chalon-sur-Saône,,4.8727002,46.7658005,31.451620695
FR060,Chartres,FR060,1.41012,48.3824005,10.600004299
FR061,Niort,,-0.436225,46.3146019,17.146794530
FR062,Calais,FR062,1.88662,50.8779984,17.651616279
FR063,Béziers,FR063,3.1775501,43.3805008,21.292954394
FR064,Arras,*,2.7174301,50.2492981,8.847076426
FR065,Bourges,FR065,2.45121,47.0653992,26.084020710
FR066,Saint-Brieuc,FR066,-2.75105,48.4658012,21.741842660
FR067,Quimper,,-4.1054101,47.9985008,23.953693536
FR068,Vannes,,-2.6979301,47.6866989,31.215057969
FR069,Cherbourg,FR069,-1.60032,49.571701,27.425036365
FR073,Tarbes,,0.10815,43.2644997,35.426964469
FR074,Compiègne,,2.8487301,49.4445,42.077638536
FR076,Belfort,FR076,6.8516402,47.6725998,60.818912990
FR077,Roanne,FR077,4.0169401,46.0547981,29.046375402
FR079,Saint-Quentin,FR079,3.3213,49.8501015,8.751711604
FR082,Beauvais,,2.06357,49.5013008,20.808730188
FR084,Creil,FR084,2.4579201,49.3013,41.580287007
FR086,Evreux,,1.07662,48.9916,25.887046806
FR090,Châteauroux,,1.66707,46.7895012,27.505261938
FR093,Brive-la-Gaillarde,,1.51831,45.1589012,52.347203164
FR096,Albi,,2.1818099,43.9351997,29.337906914
FR099,Fréjus,FR099,6.7165399,43.4634018,56.775283299
FR104,Châlons-en-Champagne,,4.3983998,48.9446983,9.205769764
FR203,Marseille,*,5.5582299,43.512001,50.358366869
FR205,Nice,FR205,7.0577798,43.9143982,63.983343624
FR207,Lens - Liévin,FR207,2.78456,50.4324989,18.454909639
